url,city,district,business_district,community_name,id,name,short_name,elevator_count,frame_count,unit_count,build_type,build_years,point_lat,point_lng,distance
https://m.lianjia.com/wh/xiaoqu/3711063649711/,武汉,蔡甸,后官湖,国创青云,3711951385095344,2号楼,,4,6,2,塔楼,2015,30.514257,114.09204,1.5700450000085e-06
https://m.lianjia.com/wh/xiaoqu/3711063649711/,武汉,蔡甸,后官湖,国创青云,3712063650870,4号楼,,4,0,2,塔楼,2015,30.517355,114.111832,0.00043808400500055
https://m.lianjia.com/wh/xiaoqu/3711063649711/,武汉,蔡甸,后官湖,国创青云,3712063650962,8号楼,,2,1,2,塔楼,2015,30.517339,114.111868,0.00043950778100032
https://m.lianjia.com/wh/xiaoqu/3711063649711/,武汉,蔡甸,后官湖,国创青云,3712063650918,7号楼,,3,2,2,塔楼,2015,30.517137,114.11194,0.00044161052500045
https://m.lianjia.com/wh/xiaoqu/3711063661512/,武汉,沌口,沌口,长江楚韵,3712063662638,3号楼,,6,15,3,板塔结合,2014,30.478781,114.225138,1.7690500000328e-07
https://m.lianjia.com/wh/xiaoqu/3711063661512/,武汉,沌口,沌口,长江楚韵,3712063663280,4号楼,,2,3,1,板塔结合,2014,30.478221,114.224995,3.2368999999825e-07
https://m.lianjia.com/wh/xiaoqu/3711063661512/,武汉,沌口,沌口,长江楚韵,3712063663312,5号楼,,2,1,1,板塔结合,2014,30.477813,114.224631,1.2218740000049e-06
https://m.lianjia.com/wh/xiaoqu/3711063661512/,武汉,沌口,沌口,长江楚韵,3712063662535,2号楼,,6,8,3,板塔结合,2014,30.478886,114.224299,1.5087890000071e-06
https://m.lianjia.com/wh/xiaoqu/3711063661512/,武汉,沌口,沌口,长江楚韵,3712063663504,6号楼,,2,4,1,板塔结合,2013,30.477591,114.224155,2.6177300000256e-06
https://m.lianjia.com/wh/xiaoqu/3711063661512/,武汉,沌口,沌口,长江楚韵,3712063661652,1号楼,,6,12,3,板塔结合,2013,30.47822,114.223629,3.4988890000113e-06
https://m.lianjia.com/wh/xiaoqu/3711063688430/,武汉,江夏,庙山,怡景江南,3712063689109,B-2号楼,,6,4,3,板楼,2015,30.412921,114.371535,1.8433700000343e-07
https://m.lianjia.com/wh/xiaoqu/3711063688430/,武汉,江夏,庙山,怡景江南,3712063688663,D-3号楼,,3,8,1,板楼,2015,30.413874,114.371952,4.2680499999719e-07
https://m.lianjia.com/wh/xiaoqu/3711063688430/,武汉,江夏,庙山,怡景江南,3712063688631,D-2号楼,,3,16,1,板楼,2015,30.413469,114.372496,4.9839399999651e-07
https://m.lianjia.com/wh/xiaoqu/3711063688430/,武汉,江夏,庙山,怡景江南,3712063689339,G-1号楼,,4,7,2,板楼,2015,30.413493,114.371076,6.3814599999618e-07
https://m.lianjia.com/wh/xiaoqu/3711063688430/,武汉,江夏,庙山,怡景江南,3712063688856,B-1号楼,,5,24,3,塔楼,2012,30.412391,114.372365,9.9243700000396e-07
https://m.lianjia.com/wh/xiaoqu/3711063688430/,武汉,江夏,庙山,怡景江南,3712063688519,D-1号楼,,3,17,1,塔楼,2013,30.412971,114.373021,1.4842209999868e-06
https://m.lianjia.com/wh/xiaoqu/3711063688430/,武汉,江夏,庙山,怡景江南,3712063688709,D-4号楼,,3,5,1,板楼,2013,30.414431,114.371395,1.6276969999936e-06
https://m.lianjia.com/wh/xiaoqu/3711063688430/,武汉,江夏,庙山,怡景江南,3712063689480,G-2号楼,,4,13,2,板楼,2013,30.413582,114.370322,2.3995809999966e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063826725,47号楼,,-1,1,2,塔楼,2014,30.438572,114.273184,2.082259999994e-07
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063825948,45号楼,,-1,1,2,塔楼,2014,30.438825,114.273171,3.1194000000414e-07
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063822944,34号楼,,-1,4,2,塔楼,2014,30.438973,114.272492,3.1301300000172e-07
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063825444,42号楼,,2,7,4,塔楼,2014,30.4377,114.272348,7.4732200000639e-07
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063827224,51号楼,,-1,3,2,塔楼,2014,30.437657,114.273121,8.085199999987e-07
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063827537,53号楼,,-1,0,2,塔楼,2014,30.437183,114.273026,1.7413129999971e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063828649,61号楼,,2,5,2,塔楼,2014,30.439458,114.273658,1.8187299999899e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063828846,62号楼,,4,15,2,塔楼,2014,30.439423,114.273757,1.9426280000071e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063828691,60号楼,,2,7,3,塔楼,2014,30.439644,114.273492,1.942938000008e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063823110,36号楼,,-1,1,4,塔楼,2014,30.438743,114.271365,1.9618599999951e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063827309,52号楼,,0,0,3,塔楼,2014,30.439442,114.271564,2.3234660000079e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063827000,49号楼,,3,3,2,塔楼,2005,30.43945,114.271569,2.3273410000063e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063825673,43号楼,,-1,5,5,塔楼,2014,30.439454,114.271569,2.3351890000074e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063826192,48号楼,,1,1,3,塔楼,2014,30.439465,114.271574,2.3452609999979e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063826027,46号楼,,-1,1,2,塔楼,2014,30.43945,114.271556,2.3579299999959e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063823077,35号楼,,-1,1,2,塔楼,2014,30.439454,114.271556,2.365777999997e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063825750,44号楼,,-1,4,4,塔楼,2014,30.439465,114.271565,2.3663120000113e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063823531,38号楼,,2,3,4,塔楼,2014,30.439458,114.271556,2.3736579999911e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063823907,40号楼,,4,5,4,塔楼,2014,30.439462,114.271556,2.3815699999922e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063828336,57号楼,,2,2,2,塔楼,2014,30.439469,114.27156,2.3860450000162e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063827011,50号楼,,-1,0,3,塔楼,2014,30.439454,114.271547,2.3871530000106e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063827828,54号楼,,2,0,3,塔楼,2014,30.437194,114.273992,3.2007380000092e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063828378,58号楼,,1,9,2,塔楼,2014,30.439876,114.271571,3.3382490000215e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063823807,39号楼,,-1,5,4,塔楼,2014,30.438273,114.270893,3.4469200000021e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063823344,37号楼,,2,11,4,板楼,2014,30.438825,114.270821,3.8040400000142e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063817943,别墅18号楼,,-1,0,1,塔楼,2014,30.438699,114.274938,4.8875850000198e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063817352,3号楼,,3,22,1,塔楼,2014,30.439345,114.270693,4.9499920000283e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063817937,别墅17号楼,,-1,0,1,塔楼,2014,30.43871,114.27496,4.9899619999629e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063817856,别墅7号楼,,-1,0,1,塔楼,2014,30.437352,114.274704,5.1133859999921e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063817862,别墅9号楼,,-1,0,1,塔楼,2014,30.43766,114.274875,5.2202169999683e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063816516,2号楼,,2,16,1,塔楼,2014,30.439485,114.270639,5.4381959999972e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063828584,59号楼,,-1,6,2,塔楼,2014,30.439658,114.270682,5.6402180000357e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063817531,别墅4号楼,,-1,0,1,塔楼,2014,30.437149,114.274866,6.271813000002e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063817836,别墅11号楼,,-1,0,1,塔楼,2014,30.437652,114.275248,6.965842000017e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063817949,别墅19号楼,,-1,0,1,塔楼,2014,30.438983,114.27536,7.131785000026e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063817829,别墅10号楼,,-1,0,1,塔楼,2014,30.437675,114.275297,7.176979999968e-06
https://m.lianjia.com/wh/xiaoqu/3711063815262/,武汉,洪山,白沙洲,福星惠誉东澜岸,3712063815205,1号楼,,3,23,1,塔楼,2014,30.439497,114.270235,7.3226920000082e-06
